geo_type_name,geo_entity_id,geo_entity_name,data_value_Homes with Cockroaches_Percent_2014,data_value_Homes with Cracks or Holes_Percent of Households_2014,data_value_Homes with Leaks_Percent of Households_2014,data_value_Asthma Emergency Department Visits (Children 5 to 17 Yrs Old)_Rate_2014,data_value_Asthma Hospitalizations (Children 5 to 17 Yrs Old)_Rate_2014
UHF42,101,Kingsbridge - Riverdale,25.04,16.91,17.7,216,38.5
UHF42,102,Northeast Bronx,25.79,16.7,17.81,347,56.6
UHF42,103,Fordham - Bronx Pk,35.09,21.64,22.1,463.7,74.5
UHF42,104,Pelham - Throgs Neck,29.38,18.91,18.5,311.6,48.9
UHF42,105,Crotona -Tremont,44.88,26.97,28.46,443.1,67.6
UHF42,106,High Bridge - Morrisania,43.35,27.41,32,483.9,69.3
UHF42,107,Hunts Point - Mott Haven,40.17,30.31,25.53,503.7,82
UHF42,201,Greenpoint,19.4,14.2,17.9,84.5,10.9
UHF42,202,Downtown - Heights - Slope,18.79,18.99,23.64,146.4,20.1
UHF42,203,Bedford Stuyvesant - Crown Heights,33.49,24.63,26.53,396,59.9
UHF42,204,East New York,34.58,14.27,16.44,372.8,51.5
UHF42,205,Sunset Park,26.17,14.79,14.61,101.4,12
UHF42,206,Borough Park,22.83,12.65,17.15,40.9,5.3
UHF42,207,East Flatbush - Flatbush,38.43,21.93,25.55,251.1,49.7
UHF42,208,Canarsie - Flatlands,25.71,13.43,18.35,157.8,20.8
UHF42,209,Bensonhurst - Bay Ridge,16.3,8.39,13.24,39.3,2.4
UHF42,210,Coney Island - Sheepshead Bay,21.08,7.77,11.97,82.3,9.5
UHF42,211,Williamsburg - Bushwick,31.57,16.06,19.21,364.8,40.7
UHF42,301,Washington Heights,29.43,24.13,29.82,241.2,32.8
UHF42,302,Central Harlem - Morningside Heights,26.98,19.92,20.87,525.5,51
UHF42,303,East Harlem,35.64,21.77,20.01,571.9,66.4
UHF42,304,Upper West Side,13.09,10.63,17.93,161.1,13.8
UHF42,305,Upper East Side,11.74,7.98,9.76,54.2,10.8
UHF42,306,Chelsea - Clinton,14.39,11.26,15,147.6,27.3
UHF42,307,Gramercy Park - Murray Hill,13.66,5.62,10.24,131.2,14.2
UHF42,308,Greenwich Village - SoHo,12.42,9.26,12.14,40.7,7.4
UHF42,309,Union Square - Lower East Side,29.51,17.54,18.75,249,19.3
UHF42,310,Lower Manhattan,13.71,9.94,12.66,166.4,19
UHF42,401,Long Island City - Astoria,23.95,15.36,18.55,130.1,22.8
UHF42,402,West Queens,25.98,9.25,12.73,125.9,19.8
UHF42,403,Flushing - Clearview,22.23,5.82,11.2,81.3,9.5
UHF42,404,Bayside - Little Neck,5.3,2,9.9,35.4,10.2
UHF42,405,Ridgewood - Forest Hills,17.55,8.91,11.42,100.6,13.5
UHF42,406,Fresh Meadows,18.64,8.29,12.31,105.3,9.7
UHF42,407,Southwest Queens,12.12,7.26,8.07,141.4,21.2
UHF42,408,Jamaica,19.51,8.62,11.03,182.6,25.3
UHF42,409,Southeast Queens,9.24,5.49,8.37,106.9,31.9
UHF42,410,Rockaways,20.3,7.5,15.4,158.2,23
UHF42,501,Port Richmond,9.4,8.6,14.4,228.5,32.3
UHF42,502,Stapleton - St. George,7.57,6.26,10.8,157.7,22.1
UHF42,503,Willowbrook,5.73,3.91,7.19,54.5,6.1
UHF42,504,South Beach - Tottenville,0.97,2.21,5.74,48,6.1